Year,Month,Value
2019,Sep,3.5
2019,Oct,3.6
2019,Nov,3.6
2019,Dec,3.6
2020,Jan,3.6
2020,Feb,3.5
2020,Mar,4.4
2020,Apr,14.8
2020,May,13.2
2020,Jun,11
2020,Jul,10.2
2020,Aug,8.4
2020,Sep,7.8
2020,Oct,6.8
2020,Nov,6.7
2020,Dec,6.7
2021,Jan,6.4
2021,Feb,6.2
2021,Mar,6.1
2021,Apr,6.1
2021,May,5.8
2021,Jun,5.9
2021,Jul,5.4
2021,Aug,5.1
2021,Sep,4.7
2021,Oct,4.5
2021,Nov,4.1
2021,Dec,3.9
2022,Jan,4
2022,Feb,3.8
2022,Mar,3.6
2022,Apr,3.7
2022,May,3.6
2022,Jun,3.6
2022,Jul,3.5
2022,Aug,3.6
2022,Sep,3.5
2022,Oct,3.6
2022,Nov,3.6
2022,Dec,3.5
2023,Jan,3.4
2023,Feb,3.6
2023,Mar,3.5
2023,Apr,3.4
2023,May,3.7
2023,Jun,3.6
2023,Jul,3.5
2023,Aug,3.8
2023,Sep,3.8
2023,Oct,3.8
2023,Nov,3.7
2023,Dec,3.7
2024,Jan,3.7
2024,Feb,3.9
2024,Mar,3.8
2024,Apr,3.9
2024,May,4
2024,Jun,4.1
2024,Jul,4.3
2024,Aug,4.2
